studentID,difNLOC,difCCN,submissions,Window,Total.Time.Spent,atv
10195,0.488789238,0.486486487,0.016393443,0.002294733,0.031179985,493
10196,0.037720918,0.033386328,0.262295082,0.768582938,0.430545183,493
10197,0.31838565,0.315315315,0.032786885,0.001418116,0.092699776,493
10198,0.488789238,0.486486487,0.016393443,4.52E-05,0.04079537,493
10199,0.233183857,0.22972973,0.049180328,0.982797365,0.031179985,493
10200,0.123638693,0.11969112,0.098360656,0.910207694,0.15459298,493
10201,0.233183857,0.22972973,0.049180328,3.13E-05,0.028566094,493
10202,0.005062925,0.006102878,1,1,0.764843167,493
10203,0.147982063,0.144144145,0.081967213,0.00983164,0.056011949,493
10204,0,0,0.606557377,0.374969675,1,493
10206,0.233183857,0.22972973,0.049180328,3.36E-05,0.030526512,493
10208,0.31838565,0.315315315,0.032786885,0.000142651,0.126400299,493
10209,0.233183857,0.22972973,0.049180328,0.986854147,0.104555639,493
10210,1,1,0,5.49E-05,0.049290515,493
10211,1,1,0,1.46E-05,0.013816281,493
10212,0.233183857,0.22972973,0.049180328,6.32E-05,0.056572069,493
10213,0.147982063,0.144144145,0.081967213,0.787959855,0.056852128,493
10214,0.123638693,0.11969112,0.098360656,0.349004164,0.31954817,493
10215,0.488789238,0.486486487,0.016393443,2.91E-05,0.026605676,493
10216,0.024052181,0.01965602,0.344262295,0.000243345,0.214899178,493
10217,0.375186846,0.315315315,0.032786885,0.24795796,0.041635549,493
10218,0.488789238,0.486486487,0.016393443,5.52E-06,0.005881255,493
10219,0.233183857,0.22972973,0.049180328,0.236764712,0.045836445,493
10220,0.233183857,0.22972973,0.049180328,0.00035583,0.313760269,493
10221,0.18206278,0.178378379,0.06557377,0.024209728,0.091486184,493
10222,0.31838565,0.315315315,0.032786885,1.25E-05,0.012042569,493
10223,0.147982063,0.144144145,0.081967213,4.64E-05,0.041822255,493
10226,1,1,0,0.000111423,0.098954444,493
10227,0.31838565,0.315315315,0.032786885,0.897720605,0.098954444,493
10228,0.31838565,0.315315315,0.032786885,0.000113016,0.100354742,493
10230,0.056226285,0.051975053,0.196721311,0.193921061,0.204163555,493
10231,0.105381166,0.101351352,0.114754098,8.53E-05,0.075989544,493
10232,0.31838565,0.315315315,0.032786885,7.45E-05,0.066467513,493
10233,1,1,0,0.011068761,0,493
10234,0.147982063,0.144144145,0.081967213,0.276336211,0.121639283,493
10237,0.086017122,0.066339067,0.163934426,0.000352113,0.310492905,493
10238,0.488789238,0.486486487,0.016393443,3.74E-05,0.033887229,493
10240,0.31838565,0.315315315,0.032786885,0.023568384,0.045463032,493
10169,0.658227848,0.492957746,0,2.18E-05,0.007792545,496
10170,0.072332731,0.058350101,0.171428571,0.000103669,0.037057881,496
10171,0.316455696,0.23943662,0.028571429,1.42E-05,0.005065154,496
10172,0.14556962,0.112676056,0.085714286,8.60E-05,0.030737261,496
10174,0.278481013,0.154929577,0.057142857,5.80E-05,0.020736828,496
10175,0.107594937,0.070422535,0.142857143,1,0.037663968,496
10176,0.074367089,0.049295775,0.2,0.033770077,0.036451794,496
10178,0.430379747,0.23943662,0.028571429,0.000214,0.076496818,496
10179,0.024525316,0.017605634,0.428571429,0.013032556,0.10589203,496
10181,0.772151899,0.492957746,0,1.22E-05,0.004372484,496
10183,0.03164557,0.014084507,0.485714286,0.563353047,0.110913892,496
10184,0.316455696,0.23943662,0.028571429,1.62E-05,0.005801117,496
10185,0.886075949,0.492957746,0,1.61E-05,0.005757825,496
10186,0.063291139,0.042253521,0.228571429,0.000367566,0.131390969,496
10187,0.050632911,0.042253521,0.228571429,0.000154293,0.055153903,496
10188,0.430379747,0.23943662,0.028571429,0.007925141,0.138447552,496
10189,0.03164557,0.022132796,0.371428571,0.47172949,0.068920732,496
10190,0.772151899,0.492957746,0,6.81E-05,0.024330058,496
10191,0.373417722,0.23943662,0.028571429,7.58E-05,0.02710074,496
10192,0.073417722,0.053521126,0.4,0.377739943,0.218061388,496
10193,0.240506329,0.154929577,0.057142857,1.39E-05,0.004978571,496
10195,0,0,1,0.270474896,0.200917789,496
10196,0.019262521,0.007960808,0.628571429,0.159759933,0.222953375,496
10197,0.006582279,0.006197183,0.685714286,0.094723105,0.393133902,496
10198,0.179746835,0.087323944,0.114285714,0.110222654,0.105285943,496
10199,0.373417722,0.23943662,0.028571429,5.55E-05,0.019827698,496
10200,0.03164557,0.017605634,0.428571429,0.157830543,0.122905753,496
10201,0.03164557,0.017605634,0.428571429,0.000123168,0.04402788,496
10202,0.111392405,0.087323944,0.114285714,0.020311943,0.144595004,496
10203,0.035443038,0.01971831,0.4,0.45972406,1,496
10204,0.886075949,0.492957746,0,0.407444386,0.046235768,496
10206,0.202531646,0.23943662,0.085714286,0.000209034,0.074721849,496
10208,0.134177215,0.087323944,0.114285714,0.031737018,0.047534525,496
10209,0.316455696,0.23943662,0.028571429,7.02E-06,0.002510931,496
10210,0.174050633,0.112676056,0.085714286,0.000116386,0.041603533,496
10211,0.373417722,0.23943662,0.028571429,0.041210903,0.009091303,496
10212,0.156962025,0.087323944,0.114285714,7.28E-05,0.026018442,496
10213,0.156962025,0.087323944,0.114285714,5.20E-05,0.018572233,496
10214,0,0,1,0.000434055,0.155158232,496
10215,0.134177215,0.087323944,0.114285714,5.50E-05,0.01965453,496
10216,0.047180667,0.032010243,0.285714286,0.120738805,0.18334127,496
10217,0.601265823,0.492957746,0.028571429,0.277711652,0.011472358,496
